name,size,type,extension,sensitivity,algorithm
Tr-gl_1047.jpg,18344,image,.jpg,0.522,Camellia-256
Tr-gl_0112.jpg,22806,image,.jpg,0.514,ChaCha20
Tr-gl_0664.jpg,13529,image,.jpg,0.526,ChaCha20
Te-gl_0157.jpg,19578,image,.jpg,0.528,AES-256
Tr-gl_1199.jpg,20086,image,.jpg,0.526,ChaCha20
Tr-gl_0554.jpg,12965,image,.jpg,0.505,ChaCha20
Tr-gl_0659.jpg,18653,image,.jpg,0.510,ChaCha20
Tr-gl_0759.jpg,20852,image,.jpg,0.489,AES-256
Tr-gl_1090.jpg,21106,image,.jpg,0.478,ChaCha20
Tr-gl_0087.jpg,26114,image,.jpg,0.515,AES-256
Tr-gl_1007.jpg,14676,image,.jpg,0.494,ChaCha20
Tr-gl_0734.jpg,17451,image,.jpg,0.490,ChaCha20
Tr-gl_0838.jpg,18916,image,.jpg,0.451,AES-256
Te-gl_0131.jpg,18429,image,.jpg,0.445,ChaCha20
Te-gl_0020.jpg,23774,image,.jpg,0.505,AES-256
Tr-gl_0380.jpg,16755,image,.jpg,0.457,ChaCha20
Tr-gl_1125.jpg,18606,image,.jpg,0.480,AES-256
Tr-gl_0462.jpg,16206,image,.jpg,0.456,AES-256
Te-gl_0280.jpg,25032,image,.jpg,0.461,Camellia-256
Tr-gl_0127.jpg,14953,image,.jpg,0.528,ChaCha20
Tr-gl_0168.jpg,18660,image,.jpg,0.534,ChaCha20
Te-gl_0266.jpg,21514,image,.jpg,0.505,AES-256
Tr-gl_0142.jpg,13364,image,.jpg,0.466,ChaCha20
Tr-gl_1194.jpg,18472,image,.jpg,0.527,ChaCha20
Tr-gl_0546.jpg,17141,image,.jpg,0.483,ChaCha20
Tr-gl_0358.jpg,18858,image,.jpg,0.496,AES-256
Te-gl_0230.jpg,20086,image,.jpg,0.522,ChaCha20
Tr-gl_0340.jpg,10881,image,.jpg,0.477,ChaCha20
Tr-gl_0474.jpg,16695,image,.jpg,0.474,ChaCha20
Tr-glTr_0000.jpg,23127,image,.jpg,0.503,AES-256
Tr-gl_0886.jpg,22940,image,.jpg,0.514,AES-256
Tr-gl_1285.jpg,16962,image,.jpg,0.499,ChaCha20
Tr-gl_1110.jpg,20394,image,.jpg,0.441,AES-256
Tr-gl_0899.jpg,18305,image,.jpg,0.496,ChaCha20
Tr-gl_1225.jpg,21577,image,.jpg,0.472,AES-256
Tr-gl_0131.jpg,17720,image,.jpg,0.499,ChaCha20
Tr-gl_0454.jpg,17207,image,.jpg,0.529,ChaCha20
Tr-gl_0315.jpg,13309,image,.jpg,0.516,ChaCha20
Tr-gl_0189.jpg,20242,image,.jpg,0.447,AES-256
Te-gl_0117.jpg,15313,image,.jpg,0.504,ChaCha20
Tr-gl_1101.jpg,13270,image,.jpg,0.535,ChaCha20
Tr-gl_0490.jpg,15264,image,.jpg,0.478,ChaCha20
Tr-gl_1086.jpg,23232,image,.jpg,0.477,AES-256
Tr-gl_0176.jpg,16907,image,.jpg,0.534,AES-256
Te-gl_0104.jpg,15707,image,.jpg,0.475,ChaCha20
Tr-gl_0109.jpg,26297,image,.jpg,0.494,AES-256
Tr-gl_1071.jpg,26864,image,.jpg,0.473,AES-256
Tr-gl_0839.jpg,16875,image,.jpg,0.441,ChaCha20
Te-gl_0014.jpg,16385,image,.jpg,0.520,ChaCha20
Tr-gl_0764.jpg,17880,image,.jpg,0.529,ChaCha20
Tr-glTr_0003.jpg,22244,image,.jpg,0.459,AES-256
Tr-gl_0317.jpg,11876,image,.jpg,0.469,ChaCha20
Tr-gl_0280.jpg,16968,image,.jpg,0.462,ChaCha20
Tr-gl_1291.jpg,16489,image,.jpg,0.503,ChaCha20
Tr-gl_0917.jpg,24067,image,.jpg,0.516,AES-256
Tr-gl_0991.jpg,24808,image,.jpg,0.494,AES-256
Te-gl_0287.jpg,16160,image,.jpg,0.453,ChaCha20
Tr-gl_0377.jpg,12253,image,.jpg,0.449,ChaCha20
Tr-gl_0791.jpg,16855,image,.jpg,0.492,ChaCha20
Tr-gl_1038.jpg,18141,image,.jpg,0.465,ChaCha20
Tr-gl_0294.jpg,14937,image,.jpg,0.493,ChaCha20
Tr-gl_1319.jpg,16301,image,.jpg,0.511,ChaCha20
Tr-gl_1299.jpg,15617,image,.jpg,0.444,ChaCha20
Tr-gl_0115.jpg,26028,image,.jpg,0.516,AES-256
Tr-gl_0714.jpg,18508,image,.jpg,0.481,ChaCha20
Tr-gl_0683.jpg,20622,image,.jpg,0.539,AES-256
Tr-gl_0897.jpg,22197,image,.jpg,0.481,AES-256
Tr-gl_0564.jpg,21912,image,.jpg,0.498,AES-256
Tr-gl_0266.jpg,16718,image,.jpg,0.464,ChaCha20
Tr-gl_0797.jpg,18663,image,.jpg,0.459,AES-256
Tr-gl_0859.jpg,21935,image,.jpg,0.447,AES-256
Te-gl_0087.jpg,12635,image,.jpg,0.490,ChaCha20
Te-gl_0255.jpg,18728,image,.jpg,0.457,ChaCha20
Tr-gl_0201.jpg,16073,image,.jpg,0.486,ChaCha20
Tr-gl_1140.jpg,16141,image,.jpg,0.466,ChaCha20
Tr-gl_0061.jpg,18549,image,.jpg,0.492,AES-256
Te-gl_0161.jpg,19788,image,.jpg,0.468,AES-256
Tr-gl_0625.jpg,18512,image,.jpg,0.477,ChaCha20
Tr-gl_0903.jpg,22852,image,.jpg,0.529,AES-256
Tr-gl_1091.jpg,22878,image,.jpg,0.521,AES-256
Tr-gl_1065.jpg,22782,image,.jpg,0.524,AES-256
Tr-gl_1302.jpg,14984,image,.jpg,0.503,ChaCha20
Tr-gl_1178.jpg,20079,image,.jpg,0.443,AES-256
Te-gl_0243.jpg,19099,image,.jpg,0.496,AES-256
Tr-gl_0901.jpg,21569,image,.jpg,0.504,AES-256
Te-gl_0012.jpg,19035,image,.jpg,0.482,ChaCha20
Tr-gl_0038.jpg,27287,image,.jpg,0.528,AES-256
Tr-gl_0113.jpg,26122,image,.jpg,0.476,AES-256
Tr-gl_0830.jpg,12602,image,.jpg,0.479,ChaCha20
Tr-gl_0440.jpg,18019,image,.jpg,0.460,ChaCha20
Tr-gl_1181.jpg,20357,image,.jpg,0.508,ChaCha20
Tr-gl_0959.jpg,21797,image,.jpg,0.516,ChaCha20
Tr-gl_0157.jpg,14338,image,.jpg,0.470,ChaCha20
Tr-gl_1278.jpg,17606,image,.jpg,0.535,ChaCha20
Tr-gl_0548.jpg,14451,image,.jpg,0.441,ChaCha20
Tr-gl_0950.jpg,20759,image,.jpg,0.460,AES-256
Tr-gl_1251.jpg,14110,image,.jpg,0.496,ChaCha20
Tr-gl_0691.jpg,22967,image,.jpg,0.441,AES-256
Tr-gl_1120.jpg,19690,image,.jpg,0.470,AES-256
Tr-gl_0362.jpg,14442,image,.jpg,0.478,ChaCha20
